country,date,_TYPE_,_FREQ_,cases,x,y,pred,y_new,i,l95,u95
Global,23JAN2020,1,266,555,-57,555,,,,,
Global,24JAN2020,1,266,654,-56,654,,,,,
Global,25JAN2020,1,266,941,-55,941,,,,,
Global,26JAN2020,1,266,1434,-54,1434,,,,,
Global,27JAN2020,1,266,2118,-53,2118,,,,,
Global,28JAN2020,1,266,2927,-52,2927,,,,,
Global,29JAN2020,1,266,5578,-51,5578,,,,,
Global,30JAN2020,1,266,6166,-50,6166,,,,,
Global,31JAN2020,1,266,8234,-49,8234,,,,,
Global,01FEB2020,1,266,9927,-48,9927,,,,,
Global,02FEB2020,1,266,12038,-47,12038,,,,,
Global,03FEB2020,1,266,16787,-46,16787,,,,,
Global,04FEB2020,1,266,19881,-45,19881,,,,,
Global,05FEB2020,1,266,23892,-44,23892,,,,,
Global,06FEB2020,1,266,27635,-43,27635,,,,,
Global,07FEB2020,1,266,30794,-42,30794,,,,,
Global,08FEB2020,1,266,34391,-41,34391,,,,,
Global,09FEB2020,1,266,37120,-40,37120,,,,,
Global,10FEB2020,1,266,40150,-39,40150,,,,,
Global,11FEB2020,1,266,42762,-38,42762,,,,,
Global,12FEB2020,1,266,44802,-37,44802,,,,,
Global,13FEB2020,1,266,45221,-36,45221,,,,,
Global,14FEB2020,1,266,60368,-35,60368,,,,,
Global,15FEB2020,1,266,66885,-34,66885,,,,,
Global,16FEB2020,1,266,69030,-33,69030,,,,,
Global,17FEB2020,1,266,71224,-32,71224,,,,,
Global,18FEB2020,1,266,73258,-31,73258,,,,,
Global,19FEB2020,1,266,75136,-30,75136,,,,,
Global,20FEB2020,1,266,75639,-29,75639,,,,,
Global,21FEB2020,1,266,76197,-28,76197,,,,,
Global,22FEB2020,1,266,76819,-27,76819,,,,,
Global,23FEB2020,1,266,78572,-26,78572,,,,,
Global,24FEB2020,1,266,78958,-25,78958,,,,,
Global,25FEB2020,1,266,79561,-24,79561,,,,,
Global,26FEB2020,1,266,80406,-23,80406,,,,,
Global,27FEB2020,1,266,81388,-22,81388,,,,,
Global,28FEB2020,1,266,82746,-21,82746,,,,,
Global,29FEB2020,1,266,84112,-20,84112,,,,,
Global,01MAR2020,1,266,86011,-19,86011,,,,,
Global,02MAR2020,1,266,88369,-18,88369,,,,,
Global,03MAR2020,1,266,90306,-17,90306,,,,,
Global,04MAR2020,1,266,92840,-16,92840,,,,,
Global,05MAR2020,1,266,95120,-15,95120,,,,,
Global,06MAR2020,1,266,97886,-14,97886,,,,,
